accel_X,accel_Y,accel_Z,gyro_X,gyro_Y,gyro_Z
-0.717,-0.034,-0.712,0.366,1.099,-1.831
-0.733,-0.04,-0.736,0.427,0.854,-1.221
-0.711,-0.043,-0.684,-0.183,-0.488,-1.709
-0.718,-0.037,-0.703,-0.305,-0.061,-1.648
-0.717,-0.036,-0.691,0.61,0.61,-1.648
-0.729,-0.038,-0.724,-0.732,1.831,-2.075
-0.725,-0.029,-0.716,-0.977,-0.732,-1.526
-0.718,-0.033,-0.705,1.831,-0.61,-1.404
-0.723,-0.031,-0.712,-0.366,-0.122,-1.465
-0.727,-0.032,-0.711,-1.77,1.038,-1.404
-0.715,-0.036,-0.692,0.793,0.977,-1.221
-0.751,-0.042,-0.732,7.935,4.578,-3.113
-0.724,-0.037,-0.708,-0.793,-1.587,-1.77
-0.732,-0.033,-0.705,0.122,1.404,-1.404
-0.726,-0.044,-0.712,-1.709,-2.258,-0.916
-0.725,-0.034,-0.716,0.061,-0.122,-1.221
-0.723,-0.04,-0.707,0.854,0.0,-1.282
-0.72,-0.037,-0.692,-5.127,-3.662,-2.136
-0.719,-0.029,-0.699,0.61,-0.183,-1.16
-0.724,-0.04,-0.709,0.244,-0.427,-1.648
-0.72,-0.04,-0.71,0.488,-0.549,-1.892
-0.714,-0.041,-0.704,-0.427,-0.61,-2.197
-0.723,-0.041,-0.704,-1.648,-1.465,-1.526
-0.71,-0.049,-0.692,0.916,-1.465,-2.258
-0.748,-0.039,-0.714,5.615,5.493,-3.235
-0.729,-0.043,-0.698,0.122,0.122,-1.038
-0.723,-0.035,-0.725,-0.793,-0.61,-1.77
-0.73,-0.034,-0.712,-0.122,0.793,-1.709
-0.718,-0.037,-0.68,-0.244,-1.038,-1.831
-0.725,-0.042,-0.703,0.977,-0.549,-1.587
-0.725,-0.04,-0.701,1.587,0.122,-1.831
-0.722,-0.042,-0.703,2.136,0.732,-1.892
-0.714,-0.048,-0.716,1.099,1.16,-2.258
-0.728,-0.049,-0.7,-3.601,-7.629,0.244
-0.727,-0.038,-0.694,-0.061,-1.16,-1.648
-0.731,-0.037,-0.701,-0.61,-1.404,-2.075
-0.73,-0.039,-0.696,0.366,-0.488,-1.77
-0.724,-0.039,-0.696,0.732,-0.916,-2.014
-0.724,-0.045,-0.697,0.732,0.488,-1.587
-0.715,-0.044,-0.697,0.732,-1.038,-2.136
-0.723,-0.041,-0.707,-1.587,-1.038,-1.282
-0.723,-0.045,-0.7,-1.282,-0.732,-1.953
-0.719,-0.052,-0.68,-0.488,-0.366,-2.93
-0.714,-0.05,-0.691,0.732,-0.488,-2.014
-0.718,-0.051,-0.711,0.488,-2.563,-1.343
-0.739,-0.042,-0.719,-2.136,0.671,-2.258
-0.718,-0.039,-0.692,-2.319,0.488,-1.282
-0.722,-0.041,-0.696,1.221,1.099,-1.587
-0.725,-0.043,-0.701,-0.366,-0.854,-1.465
-0.723,-0.039,-0.691,0.183,-0.732,-1.77
-0.728,-0.042,-0.695,-0.549,-0.427,-1.648
-0.722,-0.037,-0.687,-0.061,-1.648,-1.77
-0.73,-0.04,-0.69,-0.366,1.831,-2.197
-0.731,-0.032,-0.694,-0.977,2.136,-1.16
-0.726,-0.04,-0.692,-0.488,-0.183,-2.014
-0.719,-0.041,-0.688,-0.488,-0.732,-1.892
-0.726,-0.035,-0.695,0.0,-2.808,-0.793
-0.735,-0.042,-0.691,-0.122,0.427,-1.709
-0.728,-0.045,-0.7,0.427,0.854,-2.38
-0.726,-0.044,-0.703,-0.244,0.183,-1.648
-0.724,-0.04,-0.703,-1.709,-0.854,-1.648
-0.72,-0.04,-0.684,-0.244,-1.16,-1.831
-0.725,-0.035,-0.703,0.366,-0.366,-1.892
-0.727,-0.035,-0.703,0.549,0.427,-1.77
-0.725,-0.035,-0.702,-3.54,-0.183,-0.488
-0.715,-0.029,-0.708,0.916,-1.099,-2.014
-0.718,-0.035,-0.711,0.916,-0.977,-2.014
-0.716,-0.035,-0.706,1.648,0.305,-2.075
-0.719,-0.034,-0.715,1.16,3.479,-1.526
-0.715,-0.043,-0.714,1.282,-2.869,-1.953
-0.712,-0.042,-0.714,-0.488,-1.221,-1.709
-0.715,-0.046,-0.707,-1.709,-5.371,-2.075
-0.714,-0.049,-0.72,2.991,-8.118,-4.333
-0.735,-0.041,-0.703,3.784,2.686,-4.639
-0.71,-0.068,-0.705,1.526,4.578,-2.258
-0.728,-0.053,-0.687,3.296,-1.587,-2.747
-0.717,-0.057,-0.709,-1.16,-2.075,-0.61
-0.721,-0.072,-0.732,6.775,-1.282,-0.61
-0.727,-0.066,-0.713,0.793,0.0,-4.578
-0.726,-0.06,-0.704,2.441,1.953,2.258
-0.709,-0.083,-0.717,-2.075,0.061,-0.977
-0.722,-0.06,-0.693,-3.235,0.793,-3.418
-0.718,-0.055,-0.712,-7.568,3.54,-2.686
-0.757,0.028,-0.726,-10.376,-10.437,2.686
-0.711,-0.072,-0.71,4.456,0.854,-1.526
-0.709,-0.052,-0.703,1.16,-2.014,-2.38
-0.734,-0.054,-0.724,-4.761,-2.319,-0.977
-0.707,-0.042,-0.692,-2.197,-2.075,-1.465
-0.699,-0.058,-0.688,3.235,-4.456,-3.052
-0.721,-0.05,-0.701,0.549,-0.732,-1.526
-0.724,-0.05,-0.71,0.0,0.122,-1.831
-0.722,-0.05,-0.709,-0.61,-0.977,-2.014
-0.714,-0.047,-0.703,0.122,-0.671,-1.404
-0.714,-0.051,-0.705,0.732,-0.305,-1.831
-0.75,-0.057,-0.751,8.972,9.399,-1.526
-0.714,-0.054,-0.715,-0.793,-0.916,-1.526
-0.72,-0.057,-0.706,-0.488,-2.502,-2.686
-0.719,-0.053,-0.714,0.366,1.404,-1.953
-0.723,-0.054,-0.712,1.343,0.0,-1.709
-0.715,-0.052,-0.69,-3.784,3.54,-0.671
-0.711,-0.033,-0.693,3.967,-5.31,-3.723
-0.716,-0.048,-0.697,-0.732,0.854,-1.16
-0.714,-0.05,-0.719,-4.395,-3.479,-1.099
-0.709,-0.047,-0.704,-1.16,-0.122,-1.038
-0.705,-0.055,-0.667,6.897,-2.38,-4.15
-0.716,-0.045,-0.713,0.854,0.366,-1.709
-0.708,-0.049,-0.712,1.526,-1.648,-2.014
-0.712,-0.044,-0.726,2.014,0.793,-1.709
-0.706,-0.041,-0.706,1.16,-1.465,-1.953
-0.71,-0.044,-0.709,0.549,-0.305,-1.526
-0.714,-0.045,-0.715,1.709,0.244,-2.014
-0.707,-0.049,-0.719,-0.061,-1.282,-1.465
-0.712,-0.045,-0.718,-0.61,-1.404,-1.587
-0.708,-0.045,-0.713,-0.488,0.305,-1.648
-0.71,-0.048,-0.705,0.061,-1.16,-2.075
-0.712,-0.046,-0.711,1.404,-0.916,-1.831
-0.717,-0.046,-0.715,1.343,-0.671,-1.648
-0.714,-0.047,-0.709,0.0,0.305,-1.343
-0.719,-0.049,-0.73,-2.258,-2.38,-1.038
-0.716,-0.046,-0.715,-1.038,-0.854,-1.465
-0.72,-0.047,-0.718,0.488,-0.549,-1.526
-0.712,-0.047,-0.715,2.014,-0.671,-1.892
-0.726,-0.053,-0.735,-1.343,-3.357,-2.014
-0.719,-0.047,-0.711,-0.916,-1.404,-1.709
-0.717,-0.046,-0.708,-0.366,-1.221,-1.526
-0.718,-0.05,-0.71,0.366,-0.916,-1.77
-0.716,-0.045,-0.703,-0.122,-0.427,-1.77
-0.716,-0.049,-0.712,0.488,0.0,-1.526
-0.716,-0.051,-0.708,0.122,-0.916,-1.709
-0.719,-0.047,-0.71,-0.305,0.0,-1.282
-0.713,-0.042,-0.694,0.916,-2.136,-2.319
-0.723,-0.045,-0.702,0.671,-1.465,-1.77
-0.723,-0.043,-0.684,-0.61,-0.427,-0.488
-0.725,-0.047,-0.694,-1.16,-0.305,-2.075
-0.721,-0.055,-0.676,-1.465,-2.136,-2.747
-0.712,-0.049,-0.687,0.671,0.366,-1.465
-0.7,-0.054,-0.676,0.793,1.648,-1.892
-0.713,-0.045,-0.697,-0.793,-4.517,-2.075
-0.713,-0.051,-0.713,1.221,-1.648,-2.014
-0.714,-0.053,-0.706,1.526,-1.953,-2.319
-0.714,-0.049,-0.661,-5.92,-9.216,-2.502
-0.708,-0.058,-0.697,0.061,2.136,1.465
-0.725,-0.045,-0.695,8.545,-4.639,-10.193
-0.714,-0.072,-0.693,-2.441,2.014,1.404
-0.715,-0.078,-0.711,1.953,-0.854,-4.395
-0.731,-0.07,-0.692,1.343,-0.366,-1.16
-0.705,-0.126,-0.739,0.854,9.583,3.357
-0.731,-0.08,-0.697,5.554,-2.319,-5.615
-0.735,-0.089,-0.708,-0.305,-1.526,1.282
-0.719,-0.111,-0.694,0.183,-0.732,-2.136
-0.732,-0.104,-0.681,-1.282,-0.305,-1.221
-0.739,-0.083,-0.676,1.282,-0.061,0.122
-0.716,-0.094,-0.687,-1.831,3.113,-0.671
-0.737,-0.085,-0.697,-3.296,-1.77,1.038
-0.692,-0.104,-0.632,7.446,-4.944,-4.089
-0.721,-0.076,-0.71,1.648,2.197,-1.221
-0.709,-0.075,-0.659,-20.63,-14.221,-1.099
-0.721,-0.065,-0.696,1.587,-1.831,-1.892
-0.732,-0.074,-0.698,-2.869,-1.16,-1.892
-0.725,-0.074,-0.68,-1.953,0.244,-0.061
-0.734,-0.065,-0.694,-0.671,-1.099,-0.793
-0.731,-0.068,-0.685,-1.099,-1.526,-1.648
-0.734,-0.065,-0.704,-1.587,-1.038,-0.61
-0.728,-0.062,-0.697,-0.854,0.61,-2.075
-0.733,-0.068,-0.696,-0.061,-1.099,-1.648
-0.714,-0.066,-0.69,-1.465,-7.935,-2.258
-0.726,-0.062,-0.691,-0.122,-1.282,-1.465
-0.73,-0.067,-0.69,0.793,-1.587,-2.075
-0.729,-0.067,-0.689,-0.671,-0.732,-1.587
-0.735,-0.063,-0.692,1.465,-1.221,-1.831
-0.736,-0.066,-0.685,0.061,-1.099,-2.014
-0.735,-0.063,-0.693,0.305,0.916,-1.282
